x, y, theta, stamp, 
0.0, 0.0, -4.521051806097116e-12, 1729715802717570712, 
0.0, 0.0, -4.521051806097116e-12, 1729715802765527443, 
0.0, 0.0, -4.521051806097116e-12, 1729715802813501955, 
0.0, 0.0, -4.521051806097116e-12, 1729715802861953650, 
0.0, 0.0, -4.521051806097116e-12, 1729715802909737673, 
0.0, 0.0, -4.521051806097116e-12, 1729715802957621286, 
5.58492356503848e-05, 1.3116048648953438e-05, -0.0006258563864466285, 1729715803005517328, 
0.006349167320877314, -0.0004137623473070562, -0.03974783269535183, 1729715803117528818, 
0.01168662216514349, -0.000680295517668128, -0.06891067359018399, 1729715803166649697, 
0.017631396651268005, -0.0014496472431346774, -0.10541039231851407, 1729715803213515644, 
0.02490876615047455, -0.002626618603244424, -0.15207026314639185, 1729715803261520125, 
0.045453500002622604, -0.007079561706632376, -0.28396245178911467, 1729715803373334831, 
0.0672312080860138, -0.015193605795502663, -0.4295422595924648, 1729715803470962671, 
0.08972340822219849, -0.027594435960054398, -0.5902184685168262, 1729715803566656523, 
0.10938148945569992, -0.04267124831676483, -0.7479946138206017, 1729715803661506300, 
0.1268737018108368, -0.06135920062661171, -0.9028625395206461, 1729715803757409357, 
0.14277198910713196, -0.08570534735918045, -1.085830294768743, 1729715803869612182, 
0.1530085653066635, -0.10918192565441132, -1.2469415139241415, 1729715803966512957, 
0.15953561663627625, -0.13368549942970276, -1.4032008219879981, 1729715804061510444, 
0.16232417523860931, -0.1644274741411209, -1.5741745675848533, 1729715804173954667, 
0.1604403555393219, -0.1904706209897995, -1.7137963555862308, 1729715804269274933, 
0.15510636568069458, -0.217757910490036, -1.8485270960390738, 1729715804366543998, 
0.14602047204971313, -0.24564127624034882, -1.9722267253159553, 1729715804461515327, 
0.13424883782863617, -0.27118706703186035, -2.083814529604728, 1729715804557492677, 
0.11641601473093033, -0.30010318756103516, -2.1943055100757154, 1729715804669505805, 
0.09806212782859802, -0.3237181305885315, -2.2803924915383744, 1729715804765514140, 
0.07849211990833282, -0.3451160192489624, -2.3570242912476878, 1729715804861522548, 
0.05759572982788086, -0.36457452178001404, -2.4222955014875978, 1729715804957938503, 
0.03164444863796234, -0.38531073927879333, -2.48369179860551, 1729715805069651347, 
0.00791647657752037, -0.4024505913257599, -2.5291440280056934, 1729715805165579684, 
-0.016619369387626648, -0.4185493588447571, -2.5651071454593337, 1729715805262087738, 
-0.041595473885536194, -0.43351510167121887, -2.594862579172362, 1729715805357846649, 
-0.07098584622144699, -0.45034199953079224, -2.6209005068388067, 1729715805469285571, 
-0.09596271812915802, -0.4644239842891693, -2.6376151784153476, 1729715805565641509, 
-0.1221662312746048, -0.47886213660240173, -2.6502363745174415, 1729715805662941192, 
-0.14815688133239746, -0.4926060438156128, -2.6592254976872103, 1729715805758655134, 
-0.1780688762664795, -0.5082259774208069, -2.6650397719652097, 1729715805869642721, 
-0.20398464798927307, -0.5218245983123779, -2.6652989710143205, 1729715805965817262, 
-0.2304696887731552, -0.535614013671875, -2.664706870466628, 1729715806061592811, 
-0.2559060752391815, -0.5491555333137512, -2.663718234882275, 1729715806158190203, 
-0.28584402799606323, -0.5649809837341309, -2.6586932803703767, 1729715806269412034, 
-0.3119678199291229, -0.578779399394989, -2.6545780946144117, 1729715806366538331, 
-0.3378576338291168, -0.5926094651222229, -2.6504864269489916, 1729715806461538595, 
-0.3635447919368744, -0.6068118214607239, -2.646552181665504, 1729715806557646631, 
-0.39383283257484436, -0.6235805153846741, -2.638449649955072, 1729715806671078545, 
-0.41887810826301575, -0.6377230882644653, -2.630550939664912, 1729715806765540501, 
-0.4444056451320648, -0.6524474620819092, -2.624536906881426, 1729715806861581705, 
-0.4694974422454834, -0.6668627262115479, -2.618532181542413, 1729715806957603921, 
-0.4988659918308258, -0.6845466494560242, -2.6148627374426505, 1729715807070594008, 
-0.5235100984573364, -0.6991904973983765, -2.608191525598188, 1729715807165545986, 
-0.5489336252212524, -0.7144752740859985, -2.602924821922948, 1729715807261562438, 
-0.5737324953079224, -0.7295013666152954, -2.5984490142262495, 1729715807358029717, 
-0.6029442548751831, -0.7474662065505981, -2.594116719560272, 1729715807470541383, 
-0.6277954578399658, -0.7626279592514038, -2.5899214885072275, 1729715807565580625, 
-0.6515520811080933, -0.7775599956512451, -2.586574742704984, 1729715807661557254, 
-0.6762584447860718, -0.7932054996490479, -2.5867686099164846, 1729715807759558363, 
-0.7037208676338196, -0.8109902739524841, -2.5843134422095724, 1729715807871014179, 
-0.7284547090530396, -0.8267476558685303, -2.582392439010898, 1729715807965545576, 
-0.752968966960907, -0.8421221375465393, -2.580454405759984, 1729715808061550494, 
-0.7783216834068298, -0.858124315738678, -2.579743589531291, 1729715808158563086, 
-0.8027195930480957, -0.8736452460289001, -2.579086406690863, 1729715808253971755, 
-0.8314432501792908, -0.8920761942863464, -2.5766787235412143, 1729715808365718583, 
-0.8559445142745972, -0.9080254435539246, -2.577564070664591, 1729715808461572543, 
-0.8807691335678101, -0.9239800572395325, -2.578033925483163, 1729715808558855675, 
-0.908668041229248, -0.9421007037162781, -2.5777455292301568, 1729715808670544840, 
-0.9334275126457214, -0.958067774772644, -2.576578894861022, 1729715808767555907, 
-0.957273006439209, -0.9736006855964661, -2.575344110937112, 1729715808861560254, 
-0.9793713092803955, -0.9879318475723267, -2.5742090014530756, 1729715808958776870, 
-0.9968198537826538, -0.9990405440330505, -2.5740318344236157, 1729715809054169872, 
